             E         Z         X         Y     THETA
0   388.194467 -5.867908  0.506004  0.083025  0.066524
1   353.466028 -4.644030  0.922137  0.368242  0.131451
2   393.909145 -2.301745  0.429978 -0.236439  0.106934
3   392.746542 -0.969224  0.093442  0.540473  0.036989
4   397.146762 -5.496077  0.482829  0.593466  0.059900
5   203.366990 -3.476300  0.316407 -0.985028  0.011394
6   202.035602 -4.187969  0.246834 -0.233270  0.173743
7   275.784630 -6.879375  0.246744  0.952659  0.025630
8   288.910235 -2.327138  0.191090  0.255807  0.063929
9   307.198430 -3.722645  0.007042  0.480176  0.018888
10  289.878664 -6.126695 -0.959791 -0.132000  0.168444
11  312.073922 -6.978017  0.721768 -0.078117  0.091106
12  308.836317 -6.448474 -0.375928  0.599419  0.066113
13  324.452670 -0.280995  0.082346  0.760869  0.007963
14  397.891004 -2.759265  0.919774  0.517905  0.036325
15  399.177215 -0.111067  0.989276 -0.478848  0.062948
16  233.522573 -4.214825  0.110795 -0.866025  0.126027
17  329.442572 -4.808820 -0.014108  0.112875  0.134021
18  384.380929 -3.522443  0.716674  0.095323  0.040331
19  321.018179 -0.744857  0.112549  0.484479  0.082021
20  306.926575 -1.704824 -0.882883 -0.273056  0.156729
21  288.977776 -1.392807 -0.281553 -0.675062  0.114802
22  223.571067 -6.979238  0.146900  0.805786  0.166972
23  347.728712 -0.461902  0.112308 -0.272958  0.070754
24  361.598437 -2.207992 -0.016867  0.511209  0.015426
25  310.784133 -1.945538 -0.568245  0.609409  0.023611
26  363.333755 -2.675764  0.433165  0.825128  0.166364
27  271.626425 -2.508282 -0.999265 -0.758830  0.071097
28  309.022868 -2.209456  0.355905 -0.290828  0.136776
29  366.907665 -3.912334  0.315535 -0.634318  0.139988
30  239.266758 -0.790027 -0.417924  0.701525  0.161617
31  389.616743 -0.059066  0.756652 -0.619807  0.105648
32  318.232701 -3.711413 -0.795297 -0.008828  0.066314
33  391.970553 -5.804431  0.602260 -0.643793  0.131315
34  274.609781 -2.946276  0.839148  0.090067  0.155134
35  212.622256 -4.879379  0.413892  0.320084  0.021392
36  352.960482 -6.696767 -0.807537  0.319947  0.121921
37  208.277635 -6.210186 -0.326847  0.528351  0.100666
38  224.943386 -6.145252  0.428203 -0.081856  0.016366
39  334.228043 -2.032942 -0.362241  0.813295  0.171211
40  312.938596 -4.418691  0.349536  0.754741  0.049292
41  208.172306 -2.256328  0.317603 -0.779694  0.153529
42  355.739572 -1.948720  0.845619  0.069617  0.163278
43  278.102115 -2.978992 -0.579168 -0.540819  0.060617
44  374.837932 -5.701401 -0.701479 -0.101488  0.112174
45  219.875870 -5.405746  0.968695 -0.706016  0.040973
46  267.527338 -2.819806 -0.691369  0.438658  0.060278
47  208.453050 -4.361806  0.467996 -0.493884  0.034347
48  245.001047 -5.601059  0.216223  0.068333  0.052706
49  345.469246 -2.676494 -0.373817  0.026244  0.124139
50  253.914669 -3.878155 -0.045776  0.775763  0.011827
51  348.813943 -1.195050 -0.538562 -0.796354  0.098718
52  333.150191 -4.846911 -0.979832 -0.111000  0.134169
53  312.475211 -1.730213  0.230362 -0.818508  0.085006
54  322.966037 -3.456279 -0.722277  0.412874  0.166992
55  343.831021 -6.965558 -0.684200  0.714312  0.015584
56  204.441292 -0.540270  0.755640  0.839459  0.159621
57  203.740909 -0.897446  0.559133  0.287239  0.048377
58  210.900634 -5.214587 -0.199876  0.219348  0.013589
59  340.030274 -4.862047 -0.471628 -0.195262  0.058443
60  356.686415 -4.536115 -0.643335 -0.952614  0.139010
61  257.460641 -0.886220  0.324071  0.523878  0.121565
62  324.018438 -5.603744  0.593046 -0.996264  0.090298
63  397.745277 -2.920398 -0.743688 -0.375423  0.026148
64  227.597941 -0.183576 -0.055220 -0.113530  0.028165
65  303.624931 -1.527822 -0.261841 -0.865827  0.056352
66  384.166355 -1.366437 -0.447465  0.598518  0.078674
67  267.316088 -6.929919 -0.565384  0.216172  0.101926
68  253.900853 -1.373522  0.865626  0.456356  0.092657
69  336.103920 -0.271953 -0.289884  0.502216  0.013652
70  247.467441 -5.401838  0.877304 -0.251696  0.164487
71  266.088667 -1.285872  0.510744 -0.374893  0.016175
72  308.031255 -1.695783 -0.943754  0.410885  0.132668
73  390.596720 -0.351306 -0.161318 -0.417376  0.096377
74  273.489029 -6.613753  0.878446  0.353864  0.006983
75  388.318096 -4.316881 -0.745852  0.075656  0.085990
76  328.535622 -3.110584  0.120789  0.577517  0.077492
77  339.141876 -6.269764  0.567405  0.435308  0.108378
78  323.669643 -0.999009  0.627204 -0.284545  0.012697
79  233.559272 -1.052232 -0.388135 -0.993435  0.153090
80  263.704394 -2.292219 -0.522696  0.801682  0.108148
81  313.836068 -5.612783 -0.384412  0.566370  0.159885
82  343.452793 -4.905499  0.009878 -0.337889  0.047737
83  306.850867 -3.207263  0.605716  0.098819  0.122688
84  274.775322 -4.743636 -0.924084 -0.052167  0.080783
85  389.196326 -2.120107 -0.275915  0.334744  0.156056
86  305.370050 -0.148425  0.456222  0.179585  0.107378
87  218.919344 -6.221174 -0.665271 -0.622670  0.059280
88  201.837459 -0.630111 -0.275440 -0.338032  0.164030
89  353.481453 -3.891585 -0.941518  0.953318  0.038294
90  343.461494 -0.221424  0.913224  0.023001  0.082297
91  284.066909 -5.488021 -0.312059 -0.991606  0.000319
92  270.362296 -4.095935  0.639114 -0.854699  0.121140
93  356.991400 -1.195786  0.052591  0.442607  0.021394
94  377.058601 -1.819077 -0.817292  0.432423  0.002990
95  264.585749 -3.247547 -0.231929 -0.261420  0.115688
96  377.673759 -2.717517  0.268853  0.514534  0.088960
97  287.287300 -3.768536  0.576935  0.657706  0.015290
98  329.212104 -3.826894 -0.131182 -0.224311  0.083939
99  366.611877 -6.672348  0.930683 -0.128666  0.065684
